date,Price,,
2015-05-12,4100,,
2015-05-11,4140,,
2015-05-10,3930,,
2015-05-09,3780,,
2015-05-08,3740,,
2015-05-07,3710,,
2015-05-06,3690,,
2015-05-05,3770,,
2015-05-04,3830,,
2015-05-03,3660,,
2015-05-02,3830,,
2015-05-01,3760,,
2015-04-30,3720,,
2015-04-29,3660,,
2015-04-28,3680,,
2015-04-27,3480,,
2015-04-26,3540,,
2015-04-25,3410,,
2015-04-24,3340,,
2015-04-23,3360,,
2015-04-22,3510,,
2015-04-21,3520,,
2015-04-20,3510,,
2015-04-19,3500,,
2015-04-18,3510,,
2015-04-17,3570,,
2015-04-16,3570,,
2015-04-15,3600,,
2015-04-14,3390,,
2015-04-13,3170,,
2015-04-12,3340,,
2015-04-11,3670,,
2015-04-10,3520,,
2015-04-09,3490,,
2015-04-08,3700,,
2015-04-07,3690,,
2015-04-06,3660,,
2015-04-05,3590,,
2015-04-04,3550,,
2015-04-03,3480,,
2015-04-02,3610,,
2015-04-01,3640,,
2015-03-31,3590,,
2015-03-30,3600,,
2015-03-29,3620,,
2015-03-28,3600,,
2015-03-27,3550,,
2015-03-26,3490,,
2015-03-25,3550,,
2015-03-24,3490,,
2015-03-23,3460,,
2015-03-22,3400,,
2015-03-21,3430,,
2015-03-20,3400,,
2015-03-19,3390,,
2015-03-18,3500,,
2015-03-17,3410,,
2015-03-16,3430,,
2015-03-15,3620,,
2015-03-14,3520,,
2015-03-13,3440,,
2015-03-12,3600,,
2015-03-11,3580,,
2015-03-10,3460,,
2015-03-09,3490,,
2015-03-08,3570,,
2015-03-07,3600,,
2015-03-06,3570,,
2015-03-05,3520,,
2015-03-04,3470,,
2015-03-03,3460,,
2015-03-02,3470,,
2015-03-01,3570,,
2015-02-28,3550,,
2015-02-27,3370,,
2015-02-26,3390,,
2015-02-25,3370,,
2015-02-24,3400,,
2015-02-23,3360,,
2015-02-22,3440,,
2015-02-21,3350,,
2015-02-20,3480,,
2015-02-19,3560,,
2015-02-18,3500,,
2015-02-17,3550,,
2015-02-16,3530,,
2015-02-15,3650,,
2015-02-14,3500,,
2015-02-13,3440,,
2015-02-12,3310,,
2015-02-11,3100,,
2015-02-10,3190,,
2015-02-09,3000,,
2015-02-08,3150,,
2015-02-07,3100,,
2015-02-06,3000,,
2015-02-05,2910,,
2015-02-04,2870,,
2015-02-03,2720,,
2015-02-02,2770,,
2015-02-01,2890,,
2015-01-31,2830,,
2015-01-30,2680,,
2015-01-29,2670,,
2015-01-28,2570,,
2015-01-27,2760,,
2015-01-26,2780,,
2015-01-25,2730,,
2015-01-24,2890,,
2015-01-23,2740,,
2015-01-22,2870,,
2015-01-21,2910,,
2015-01-20,2950,,
2015-01-19,2930,,
2015-01-18,2920,,
2015-01-17,3020,,
2015-01-16,2990,,
2015-01-15,3010,,
2015-01-14,2810,,
2015-01-13,2760,,
2015-01-12,2870,,
2015-01-11,2980,,
2015-01-10,3010,,
2015-01-09,2800,,
2015-01-08,2870,,
2015-01-07,2820,,
2015-01-06,2970,,
2015-01-05,3040,,
2015-01-04,3060,,
2015-01-03,3060,,
2015-01-02,3050,,
2015-01-01,3130,,
2014-12-31,2930,,
2014-12-30,2850,,
2014-12-29,2790,,
2014-12-28,2530,,
2014-12-27,2640,,
2014-12-26,2620,,
2014-12-25,2950,,
2014-12-24,3190,,
2014-12-23,2600,,
2014-12-22,2640,,
2014-12-21,2590,,
2014-12-20,2510,,
2014-12-19,2480,,
2014-12-18,2500,,
2014-12-17,2570,,
2014-12-16,2550,,
2014-12-15,2660,,
2014-12-14,2540,,
2014-12-13,2540,,
2014-12-12,2640,,
2014-12-11,2690,,
2014-12-10,2660,,
2014-12-09,2370,,
2014-12-08,2470,,
2014-12-07,2540,,
2014-12-06,2520,,
2014-12-05,2640,,
2014-12-04,2500,,
2014-12-03,2570,,
2014-12-02,2620,,
2014-12-01,2800,,
2014-11-30,2740,,
2014-11-29,2830,,
2014-11-28,2670,,
2014-11-27,2640,,
2014-11-26,2780,,
2014-11-25,2690,,
2014-11-24,2740,,
2014-11-23,2820,,
2014-11-22,2790,,
2014-11-21,2780,,
2014-11-20,2800,,
2014-11-19,2690,,
2014-11-18,3020,,
2014-11-17,2830,,
2014-11-16,2770,,
2014-11-15,2840,,
2014-11-14,2700,,
2014-11-13,2760,,
2014-11-12,2820,,
2014-11-11,2870,,
2014-11-10,2650,,
2014-11-09,2740,,
2014-11-08,2650,,
2014-11-07,2750,,
2014-11-06,2670,,
2014-11-05,2730,,
2014-11-04,3150,,
2014-11-03,3020,,
2014-11-02,2780,,
2014-11-01,2880,,
2014-10-31,2690,,
2014-10-30,2630,,
2014-10-29,2540,,
2014-10-28,2740,,
2014-10-27,2580,,
2014-10-26,2750,,
2014-10-25,2930,,
2014-10-24,2940,,
2014-10-23,3000,,
2014-10-22,2970,,
2014-10-21,3070,,
2014-10-20,2940,,
2014-10-19,2960,,
2014-10-18,3100,,
2014-10-17,3050,,
2014-10-16,2930,,
2014-10-15,2740,,
2014-10-14,2800,,
2014-10-13,2770,,
2014-10-12,2880,,
2014-10-11,2900,,
